product,slope,r_squared
GALAXY_SOUNDS_BLACK_HOLES,0.0009802496447747218,0.7845398868761151
GALAXY_SOUNDS_DARK_MATTER,3.953484022503875e-05,0.010719288743090496
GALAXY_SOUNDS_PLANETARY_RINGS,0.0003090161934377958,0.12211411739521372
GALAXY_SOUNDS_SOLAR_FLAMES,-5.367379521074867e-05,0.010663137497034932
GALAXY_SOUNDS_SOLAR_WINDS,0.0004157244154552495,0.44270504310460435
MICROCHIP_CIRCLE,0.00021674528106638364,0.12425558063198455
MICROCHIP_OVAL,-0.0017108738552843042,0.911544234326858
MICROCHIP_RECTANGLE,-0.0006561191557390213,0.5709304583600677
MICROCHIP_SQUARE,0.0017711795827657553,0.7023911076389038
MICROCHIP_TRIANGLE,-0.0007714427710738249,0.6426993536704323
OXYGEN_SHAKE_CHOCOLATE,0.00038521869390802067,0.3541455469093407
OXYGEN_SHAKE_EVENING_BREATH,4.416196336906883e-05,0.00915040272569198
OXYGEN_SHAKE_GARLIC,0.0009879985156888871,0.8055350280271989
OXYGEN_SHAKE_MINT,-0.0002054778469249754,0.12264621780772336
OXYGEN_SHAKE_MORNING_BREATH,-0.0005619742997099715,0.5558294906267846
PANEL_1X2,4.12617063514019e-05,0.0036693476505042563
PANEL_1X4,-0.0007020782104945311,0.5314712257018916
PANEL_2X2,-0.0004676619625818465,0.3602437497504635
PANEL_2X4,0.0006403305664948118,0.781780011482529
PANEL_4X4,-4.18352028620391e-05,0.006284282704301579
PEBBLES_L,0.0001742112671924569,0.058773891097721354
PEBBLES_M,0.0005734689304360764,0.5213740655211184
PEBBLES_S,-0.0008597455528463838,0.7984201117175223
PEBBLES_XL,0.0017002657442014072,0.6869995838453832
PEBBLES_XS,-0.0015881895789224326,0.9003594291951942
ROBOT_DISHES,0.0005621274054201414,0.7648879596073443
ROBOT_IRONING,-0.0007791719722546354,0.7659495002197666
ROBOT_LAUNDRY,-0.0005627709581053009,0.6294286469076982
ROBOT_MOPPING,0.0006406689000829655,0.523082616192562
ROBOT_VACUUMING,-0.0005402768494880848,0.7641543046755038
SLEEP_POD_COTTON,0.0008232069985613409,0.6450128452021796
SLEEP_POD_LAMB_WOOL,6.944967197827742e-05,0.021191445214118476
SLEEP_POD_NYLON,0.00033824799671583103,0.3315690683334709
SLEEP_POD_POLYESTER,0.0010108763350043072,0.8020531231094613
SLEEP_POD_SUEDE,0.0008550665096811849,0.677083414370064
SNACKPACK_CHOCOLATE,-0.0001557913507675459,0.4517763227160851
SNACKPACK_PISTACHIO,-0.00017180288566978093,0.629733943479997
SNACKPACK_RASPBERRY,6.687217569652463e-06,0.0011631090660548162
SNACKPACK_STRAWBERRY,0.0003532687911836319,0.7081133342065093
SNACKPACK_VANILLA,8.987375242874863e-05,0.1901051481862922
TRANSLATOR_ASTRO_BLACK,-0.00039073402456748206,0.47741538562359925
TRANSLATOR_ECLIPSE_CHARCOAL,4.481296817756996e-05,0.011908847656049786
TRANSLATOR_GRAPHITE_MIST,0.00026454015476393356,0.21033759665579468
TRANSLATOR_SPACE_GRAY,-0.00036633782845704185,0.39830017010203084
TRANSLATOR_VOID_BLUE,0.0005170021799211134,0.5974783470717453
UV_VISOR_AMBER,-0.0010993898070004332,0.9121381888852932
UV_VISOR_MAGENTA,0.0005819788506710875,0.6748144652589816
UV_VISOR_ORANGE,0.00038288139116875706,0.3626823357530639
UV_VISOR_RED,0.0004723968371193299,0.48456896660494947
UV_VISOR_YELLOW,-4.794044518548941e-05,0.003708135680170732
