group,combo_type,combination,products,slope,r2
GALAXY,pair_sum,SOUNDS_BLACK_HOLES+SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES | GALAXY_SOUNDS_DARK_MATTER,0.0010197844849997605,0.7625600463257713
GALAXY,pair_diff,SOUNDS_BLACK_HOLES-SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES | GALAXY_SOUNDS_DARK_MATTER,0.000940714804549683,0.6424693711222662
GALAXY,pair_sum,SOUNDS_BLACK_HOLES+SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_BLACK_HOLES | GALAXY_SOUNDS_PLANETARY_RINGS,0.0012892658382125176,0.7723322107703604
GALAXY,pair_diff,SOUNDS_BLACK_HOLES-SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_BLACK_HOLES | GALAXY_SOUNDS_PLANETARY_RINGS,0.0006712334513369261,0.2420599100415553
GALAXY,pair_sum,SOUNDS_BLACK_HOLES+SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_BLACK_HOLES | GALAXY_SOUNDS_SOLAR_FLAMES,0.0009265758495639731,0.6311715989615119
GALAXY,pair_diff,SOUNDS_BLACK_HOLES-SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_BLACK_HOLES | GALAXY_SOUNDS_SOLAR_FLAMES,0.0010339234399854705,0.655960456377436
GALAXY,pair_sum,SOUNDS_BLACK_HOLES+SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_BLACK_HOLES | GALAXY_SOUNDS_SOLAR_WINDS,0.001395974060229971,0.8627643878273122
GALAXY,pair_diff,SOUNDS_BLACK_HOLES-SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_BLACK_HOLES | GALAXY_SOUNDS_SOLAR_WINDS,0.0005645252293194727,0.3279982036990061
GALAXY,pair_sum,SOUNDS_DARK_MATTER+SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_DARK_MATTER | GALAXY_SOUNDS_PLANETARY_RINGS,0.0003485510336628344,0.09949567524336358
GALAXY,pair_diff,SOUNDS_DARK_MATTER-SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_DARK_MATTER | GALAXY_SOUNDS_PLANETARY_RINGS,-0.000269481353212757,0.11444331046091559
GALAXY,pair_sum,SOUNDS_DARK_MATTER+SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_DARK_MATTER | GALAXY_SOUNDS_SOLAR_FLAMES,-1.4138954985710046e-05,0.0004911325624273544
GALAXY,pair_diff,SOUNDS_DARK_MATTER-SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_DARK_MATTER | GALAXY_SOUNDS_SOLAR_FLAMES,9.320863543578722e-05,0.02044542940012571
